# Generated by tools/n64stack/frames.py export from build/eu/sm64.eu.elf. Functions on the
# N64's call paths to set_camera_mode, find_floor_from_list, bhv_jrb_sliding_box_loop, with their stack frame sizes.
game_loop_sp	0x802021b8
src/game/behavior_actions.c	ukiki_cage_act_fall	24
src/game/behavior_actions.c	bhv_ukiki_cage_loop	24
src/game/behavior_actions.c	bhv_beta_moving_flames_spawn_loop	24
src/game/behavior_actions.c	bhv_flamethrower_flame_loop	40
src/game/behavior_actions.c	bhv_flamethrower_loop	48
src/game/behavior_actions.c	bhv_rr_rotating_bridge_platform_loop	24
src/game/behavior_actions.c	bhv_bouncing_fireball_flame_loop	24
src/game/behavior_actions.c	bhv_bouncing_fireball_loop	32
src/game/behavior_actions.c	bhv_black_smoke_upward_loop	24
src/game/behavior_actions.c	bhv_flame_mario_loop	32
src/game/behavior_actions.c	bhv_spindrift_loop	32
src/game/behavior_actions.c	spawn_and_init_wf_platforms	24
src/game/behavior_actions.c	spawn_wf_platform_group	24
src/game/behavior_actions.c	bhv_tower_platform_group_loop	32
src/game/behavior_actions.c	bhv_tree_snow_or_leaf_loop	32
src/game/behavior_actions.c	bhv_snow_leaf_particle_spawn_init	32
src/game/behavior_actions.c	bhv_piranha_plant_bubble_loop	64
src/game/behavior_actions.c	check_if_moving_over_floor	48
src/game/behavior_actions.c	bhv_pushable_loop	32
src/game/behavior_actions.c	hidden_breakable_box_actions	24
src/game/behavior_actions.c	bhv_hidden_object_loop	24
src/game/behavior_actions.c	bhv_breakable_box_loop	24
src/game/behavior_actions.c	heave_ho_move	24
src/game/behavior_actions.c	bhv_heave_ho_loop	24
src/game/behavior_actions.c	bhv_ccm_touched_star_spawn_loop	24
src/game/behavior_actions.c	bhv_unused_poundable_platform	24
src/game/behavior_actions.c	bhv_beta_trampoline_top_loop	24
src/game/behavior_actions.c	jumping_box_act_1	24
src/game/behavior_actions.c	jumping_box_free_update	24
src/game/behavior_actions.c	bhv_jumping_box_loop	24
src/game/behavior_actions.c	bhv_boo_cage_loop	32
src/game/behavior_actions.c	spawn_sparkle_particles	88
src/game/behavior_actions.c	bhv_alpha_boo_key_loop	24
src/game/behavior_actions.c	beta_boo_key_dropped_loop	32
src/game/behavior_actions.c	bhv_beta_boo_key_loop	24
src/game/behavior_actions.c	bhv_grand_star_loop	64
src/game/behavior_actions.c	bhv_bowser_key_loop	32
src/game/behavior_actions.c	bullet_bill_act_2	24
src/game/behavior_actions.c	bhv_bullet_bill_loop	24
src/game/behavior_actions.c	bhv_bowser_tail_anchor_loop	24
src/game/behavior_actions.c	bhv_bowser_flame_spawn_loop	56
src/game/behavior_actions.c	bowser_spawn_shockwave	24
src/game/behavior_actions.c	bowser_bounce_effects	24
src/game/behavior_actions.c	bowser_act_spit_fire_into_sky	48
src/game/behavior_actions.c	bowser_act_hit_mine	32
src/game/behavior_actions.c	bowser_land	24
src/game/behavior_actions.c	bowser_act_big_jump	32
src/game/behavior_actions.c	bowser_act_quick_jump	32
src/game/behavior_actions.c	bowser_act_spit_fire_onto_floor	40
src/game/behavior_actions.c	bowser_act_charge_mario	40
src/game/behavior_actions.c	bowser_act_thrown	32
src/game/behavior_actions.c	bowser_act_jump_onto_stage	32
src/game/behavior_actions.c	bowser_spawn_collectable	24
src/game/behavior_actions.c	bowser_dead_bounce	24
src/game/behavior_actions.c	bowser_dead_default_stage_ending	32
src/game/behavior_actions.c	bowser_dead_final_stage_ending	40
src/game/behavior_actions.c	bowser_act_dead	24
src/game/behavior_actions.c	bowser_free_update	40
src/game/behavior_actions.c	bowser_thrown_dropped_update	24
src/game/behavior_actions.c	bhv_bowser_loop	40
src/game/behavior_actions.c	falling_bowser_plat_act_fall	64
