# Generated by tools/n64stack/frames.py export from build/sh/sm64.sh.elf. Functions on the
# N64's call paths to set_camera_mode, with their stack frame sizes.
game_loop_sp	0x802011b8
src/game/camera.c	cutscene_sliding_doors_open	32
src/game/camera.c	cutscene_enter_painting	104
src/game/camera.c	cutscene_exit_painting	32
src/game/camera.c	cutscene_enter_cannon_raise	88
src/game/camera.c	cutscene_door_mode	32
src/game/camera.c	play_cutscene	56
src/game/camera.c	cutscene_event	24
src/game/game_init.c	display_and_vsync	24
src/game/game_init.c	thread5_game_loop	56
src/game/interaction.c	take_damage_and_knock_back	40
src/game/interaction.c	reset_mario_pitch	24
src/game/interaction.c	interact_star_or_key	48
src/game/interaction.c	interact_tornado	40
src/game/interaction.c	interact_strong_wind	32
src/game/interaction.c	interact_flame	40
src/game/interaction.c	interact_snufit_bullet	32
src/game/interaction.c	interact_clam_or_bubba	24
src/game/interaction.c	interact_bully	40
src/game/interaction.c	interact_shock	40
src/game/interaction.c	interact_mr_blizzard	24
src/game/interaction.c	interact_hit_from_below	40
src/game/interaction.c	interact_bounce_top	40
src/game/interaction.c	interact_unknown_08	24
src/game/interaction.c	interact_damage	24
src/game/interaction.c	interact_koopa_shell	32
src/game/interaction.c	check_object_grab_mario	32
src/game/interaction.c	interact_pole	48
src/game/interaction.c	interact_hoot	32
src/game/interaction.c	interact_grabbable	40
src/game/interaction.c	mario_process_interactions	40
src/game/interaction.c	check_lava_boost	24
src/game/interaction.c	mario_handle_special_floors	40
src/game/level_update.c	init_mario_after_warp	40
src/game/level_update.c	warp_area	24
src/game/level_update.c	warp_level	24
src/game/level_update.c	warp_credits	40
src/game/level_update.c	check_instant_warp	40
src/game/level_update.c	basic_update	24
src/game/level_update.c	play_mode_normal	24
src/game/level_update.c	play_mode_frame_advance	24
src/game/level_update.c	play_mode_change_area	24
src/game/level_update.c	play_mode_change_level	24
src/game/level_update.c	update_level	32
src/game/level_update.c	init_level	40
src/game/level_update.c	lvl_init_or_update	24
src/game/mario.c	update_mario_sound_and_camera	32
src/game/mario.c	transition_submerged_to_walking	32
src/game/mario.c	set_water_plunge_action	32
src/game/mario.c	set_submerged_cam_preset_and_spawn_bubbles	32
src/game/mario.c	execute_mario_action	40
src/game/mario_actions_airborne.c	lava_boost_on_wall	32
src/game/mario_actions_airborne.c	common_air_action_step	40
src/game/mario_actions_airborne.c	act_jump	24
src/game/mario_actions_airborne.c	act_double_jump	32
src/game/mario_actions_airborne.c	act_triple_jump	32
src/game/mario_actions_airborne.c	act_backflip	32
src/game/mario_actions_airborne.c	act_freefall	32
src/game/mario_actions_airborne.c	act_hold_jump	24
src/game/mario_actions_airborne.c	act_hold_freefall	24
src/game/mario_actions_airborne.c	act_side_flip	24
src/game/mario_actions_airborne.c	act_wall_kick_air	24
src/game/mario_actions_airborne.c	act_long_jump	40
src/game/mario_actions_airborne.c	act_riding_shell_air	32
src/game/mario_actions_airborne.c	act_twirling	40
src/game/mario_actions_airborne.c	act_dive	32
src/game/mario_actions_airborne.c	act_air_throw	32
src/game/mario_actions_airborne.c	act_water_jump	32
src/game/mario_actions_airborne.c	act_hold_water_jump	32
src/game/mario_actions_airborne.c	act_steep_jump	32
src/game/mario_actions_airborne.c	act_crazy_box_bounce	40
src/game/mario_actions_airborne.c	common_air_knockback_step	40
src/game/mario_actions_airborne.c	act_backward_air_kb	32
src/game/mario_actions_airborne.c	act_forward_air_kb	32
src/game/mario_actions_airborne.c	act_hard_backward_air_kb	32
src/game/mario_actions_airborne.c	act_hard_forward_air_kb	32
src/game/mario_actions_airborne.c	act_thrown_backward	40
src/game/mario_actions_airborne.c	act_thrown_forward	48
src/game/mario_actions_airborne.c	act_soft_bonk	32
src/game/mario_actions_airborne.c	act_forward_rollout	32
src/game/mario_actions_airborne.c	act_backward_rollout	32
src/game/mario_actions_airborne.c	act_butt_slide_air	32
src/game/mario_actions_airborne.c	act_hold_butt_slide_air	32
src/game/mario_actions_airborne.c	act_lava_boost	32
src/game/mario_actions_airborne.c	act_slide_kick	32
src/game/mario_actions_airborne.c	act_shot_from_cannon	32
src/game/mario_actions_airborne.c	act_flying	40
src/game/mario_actions_airborne.c	act_flying_triple_jump	32
src/game/mario_actions_airborne.c	act_top_of_pole_jump	24
src/game/mario_actions_airborne.c	check_common_airborne_cancels	24
src/game/mario_actions_airborne.c	mario_execute_airborne_action	32
src/game/mario_actions_automatic.c	check_common_automatic_cancels	24
src/game/mario_actions_automatic.c	mario_execute_automatic_action	32
src/game/mario_actions_cutscene.c	act_spawn_spin_airborne	32
src/game/mario_actions_cutscene.c	act_spawn_no_spin_airborne	24
src/game/mario_actions_cutscene.c	act_teleport_fade_in	32
src/game/mario_actions_cutscene.c	act_credits_cutscene	40
src/game/mario_actions_cutscene.c	check_for_instant_quicksand	24
src/game/mario_actions_cutscene.c	mario_execute_cutscene_action	40
src/game/mario_actions_moving.c	common_landing_cancels	24
src/game/mario_actions_moving.c	act_jump_land	24
src/game/mario_actions_moving.c	act_freefall_land	24
src/game/mario_actions_moving.c	act_side_flip_land	24
src/game/mario_actions_moving.c	act_hold_jump_land	24
src/game/mario_actions_moving.c	act_hold_freefall_land	24
src/game/mario_actions_moving.c	act_long_jump_land	24
src/game/mario_actions_moving.c	act_double_jump_land	24
src/game/mario_actions_moving.c	act_triple_jump_land	24
src/game/mario_actions_moving.c	act_backflip_land	24
src/game/mario_actions_moving.c	check_common_moving_cancels	24
src/game/mario_actions_moving.c	mario_execute_moving_action	40
src/game/mario_actions_object.c	check_common_object_cancels	24
src/game/mario_actions_object.c	mario_execute_object_action	40
src/game/mario_actions_stationary.c	act_first_person	32
src/game/mario_actions_stationary.c	check_common_stationary_cancels	32
src/game/mario_actions_stationary.c	mario_execute_stationary_action	40
src/game/mario_actions_submerged.c	check_common_submerged_cancels	24
src/game/mario_actions_submerged.c	mario_execute_submerged_action	32
src/game/mario_step.c	mario_update_quicksand	24
src/game/object_helpers.c	cur_obj_call_action_function	24
src/game/object_list_processor.c	bhv_mario_update	32
src/game/object_list_processor.c	update_objects_starting_at	40
src/game/object_list_processor.c	update_objects_during_time_stop	56
src/game/object_list_processor.c	update_objects_in_list	24
src/game/object_list_processor.c	update_terrain_objects	24
src/game/object_list_processor.c	update_non_terrain_objects	48
src/game/object_list_processor.c	update_objects	264
src/game/rendering_graph_node.c	geo_process_master_list	24
src/game/rendering_graph_node.c	geo_process_ortho_projection	48
src/game/rendering_graph_node.c	geo_process_perspective	72
src/game/rendering_graph_node.c	geo_process_level_of_detail	24
src/game/rendering_graph_node.c	geo_process_switch	32
src/game/rendering_graph_node.c	geo_process_camera	112
src/game/rendering_graph_node.c	geo_process_translation_rotation	120
src/game/rendering_graph_node.c	geo_process_translation	120
src/game/rendering_graph_node.c	geo_process_rotation	104
src/game/rendering_graph_node.c	geo_process_scale	120
src/game/rendering_graph_node.c	geo_process_billboard	56
src/game/rendering_graph_node.c	geo_process_display_list	24
src/game/rendering_graph_node.c	geo_process_generated_list	24
src/game/rendering_graph_node.c	geo_process_background	32
src/game/rendering_graph_node.c	geo_process_animated_part	128
src/game/rendering_graph_node.c	geo_process_shadow	160
src/game/rendering_graph_node.c	geo_process_object	128
src/game/rendering_graph_node.c	geo_process_object_parent	24
src/game/rendering_graph_node.c	geo_process_held_object	120
src/game/rendering_graph_node.c	geo_try_process_children	24
src/game/rendering_graph_node.c	geo_process_node_and_siblings	40
src/game/rendering_graph_node.c	geo_process_root	48
src/menu/file_select.c	lvl_update_obj_and_load_file_selected	24
src/menu/star_select.c	lvl_update_obj_and_load_act_button_actions	24
