make_vtx_link	8017be80	196
make_valptr	8017bf44	136
reset_plane	8017bfcc	1072
make_plane	8017c3fc	148
make_camera	8017c490	540
make_material	8017c6ac	168
make_light	8017c754	276
make_view	8017c868	660
make_animator	8017cafc	120
make_weight	8017cb74	120
make_group_of_type	8017cbec	204
format_object_id	8017ccb8	460
make_group	8017ce84	528
addto_group	8017d094	236
addto_groupfirst	8017d180	252
group_contains_obj	8017d27c	132
show_details	8017d300	1192
stub_objects_2	8017d7a8	36
make_scene	8017d7cc	36
menu_cb_reset_positions	8017d878	56
func_8017E2F0	8017d8b0	240
apply_to_obj_types_in_group	8017d9a0	420
func_8017E584	8017db44	692
func_8017E838	8017ddf8	436
func_8017E9EC	8017dfac	168
func_8017EA94	8017e054	144
func_8017EB24	8017e0e4	476
is_obj_xz_in_bounding_box	8017e2c0	204
is_point_xz_in_bounding_box	8017e38c	144
gd_plane_point_within	8017e41c	504
transform_child_objects_recursive	8017e614	444
func_8017F210	8017e7d0	444
func_8017F3CC	8017e98c	56
stub_objects_3	8017e9c4	32
interpolate_animation_transform	8017e9e4	416
move_animator	8017eb84	4192
drag_picked_object	8017fbe4	768
move_animators	8017fee4	80
find_and_drag_picked_object	8017ff34	60
move_camera	8017ff70	1572
move_cameras_in_grp	80180594	56
func_8018100C	801805cc	876
move_lights_in_grp	80180938	56
move_group_members	80180970	172
proc_view_movement	80180a1c	152
reset_nets_and_gadgets	80180ab4	68
null_obj_lists	80180af8	160
func_801815E0	80180ba0	384
scale_verts	80180d20	220
move_skin	80180dfc	88
func_80181894	80180e54	316
reset_weight_vtx	80180f90	272
reset_weight	801810a0	168
reset_joint_weights	80181148	112
Unknown80181D14	801812d4	412
func_80181EB0	80181470	472
func_80182088	80181648	792
func_801823A0	80181960	336
make_particle	80181ab0	268
make_connection	80181bbc	380
func_80182778	80181d38	656
func_80182A08	80181fc8	636
move_particle	80182244	2284
move_particles_in_grp	80182b30	88
Unknown801835C8	80182b88	680
stub_particles_1	80182e30	20
stub_particles_2	80182e44	20
stub_particles_3	80182e58	28
stub_particles_4	80182e74	28
func_801838D0	80182e90	56
d_stash_dynobj	80182ed0	48
d_unstash_dynobj	80182f00	48
reset_dynlist	80182f30	112
proc_dynlist	80182fa0	2108
d_set_name_suffix	801837dc	164
d_append_to_name_suffix	80183880	168
reset_dynamic_objs	80183ab0	92
d_add_net_with_subgroup	80183b0c	180
d_end_net_with_subgroup	80183bc0	108
d_attach_joint_to_net	80183c2c	124
d_make_netfromshapeid	80183ca8	120
d_make_netfromshape_ptrptr	80183d20	72
add_to_dynobj_list	80183d68	668
d_makeobj	80184078	772
d_attach	8018437c	200
d_attach_to	80184444	936
d_attachto_dynid	801847ec	164
copy_bytes	80184890	76
alloc_animdata	801848dc	1468
chk_shapegen	80184e98	1944
d_set_nodegroup	80185630	416
d_set_matgroup	801857d0	240
d_set_texture_st	801858c0	156
d_use_texture	8018595c	172
d_set_skinshape	80185a08	228
d_map_materials	80185aec	140
d_map_vertices	80185b78	140
d_set_planegroup	80185c04	288
d_set_shapeptrptr	80185d24	444
d_set_shapeptr	80185ee0	412
