# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/bub/bub_fins.rgba16.inc.c	2048	[1424336, 7176]
texture	actors/bub/bub_scales.rgba16.inc.c	4096	[1424336, 9224]
texture	actors/bubba/bubba_eye_border.rgba16.inc.c	2048	[1424336, 5128]
texture	actors/bubba/bubba_eyes_unused.rgba16.inc.c	4096	[1424336, 1032]
texture	actors/bubba/bubba_fins.rgba16.inc.c	2048	[1424336, 7176]
texture	actors/bubba/bubba_scales.rgba16.inc.c	8192	[1424336, 9224]
texture	actors/bubba/bubba_sunglasses.rgba16.inc.c	1024	[1424336, 8]
texture	actors/bubble/bubble.rgba16.inc.c	2048	[980848, 118112]
texture	actors/bubble/mr_i_bubble.rgba16.inc.c	2048	[980848, 120160]
texture	actors/bullet_bill/bullet_bill_eye.rgba16.inc.c	4096	[1071104, 47784]
texture	actors/bullet_bill/bullet_bill_mouth.rgba16.inc.c	4096	[1071104, 51880]
texture	actors/bully/bully_eye.rgba16.inc.c	2048	[1105024, 9320]
texture	actors/bully/bully_horn.rgba16.inc.c	512	[1105024, 224]
texture	actors/bully/bully_left_side.rgba16.inc.c	4096	[1105024, 1128]
texture	actors/bully/bully_right_side.rgba16.inc.c	4096	[1105024, 5224]
texture	actors/burn_smoke/burn_smoke.ia16.inc.c	2048	[980848, 137216]
texture	actors/butterfly/butterfly_wing.rgba16.inc.c	4096	[1950768, 17320]
texture	actors/cannon_barrel/cannon_barrel.rgba16.inc.c	2048	[1888800, 22696]
texture	actors/cannon_base/cannon_base.rgba16.inc.c	2048	[1888800, 18872]
texture	actors/cannon_lid/cannon_lid.rgba16.inc.c	2048	[1888800, 16472]
texture	actors/capswitch/cap_switch_base.rgba16.inc.c	128	[1313392, 11336]
texture	actors/capswitch/cap_switch_head.ia16.inc.c	4096	[1313392, 7240]
texture	actors/chain_ball/chain_ball.rgba16.inc.c	2048	[1700432, 133864]
texture	actors/chain_chomp/chain_chomp_bright_shine.rgba16.inc.c	2048	[1700432, 136144]
texture	actors/chain_chomp/chain_chomp_dull_shine.rgba16.inc.c	2048	[1700432, 138192]
texture	actors/chain_chomp/chain_chomp_eye.rgba16.inc.c	2048	[1700432, 144336]
texture	actors/chain_chomp/chain_chomp_tongue.rgba16.inc.c	2048	[1700432, 140240]
texture	actors/chain_chomp/chain_chomp_tooth.rgba16.inc.c	2048	[1318016, 27376]
texture	actors/chair/chair_bottom.rgba16.inc.c	1024	[1318016, 16480]
texture	actors/chair/chair_front.rgba16.inc.c	2048	[1318016, 12384]
texture	actors/chair/chair_leg.rgba16.inc.c	2048	[1318016, 14432]
texture	actors/chair/chair_surface_unused.rgba16.inc.c	2048	[1318016, 17504]
texture	actors/checkerboard_platform/checkerboard_platform.rgba16.inc.c	2048	[1888800, 52288]
texture	actors/checkerboard_platform/checkerboard_platform_side.rgba16.inc.c	1024	[1888800, 51264]
texture	actors/chillychief/chill_bully_eye.rgba16.inc.c	2048	[1105024, 9320]
texture	actors/chillychief/chill_bully_left_side.rgba16.inc.c	4096	[1835536, 96]
texture	actors/chillychief/chill_bully_right_side.rgba16.inc.c	4096	[1835536, 4192]
texture	actors/chuckya/chuckya_body_arm_left_side.rgba16.inc.c	4096	[1888800, 32632]
texture	actors/chuckya/chuckya_body_arm_right_side.rgba16.inc.c	4096	[1888800, 36728]
texture	actors/chuckya/chuckya_eyes.rgba16.inc.c	4096	[1888800, 26488]
texture	actors/chuckya/chuckya_hand_antenna.rgba16.inc.c	2048	[1888800, 30584]
texture	actors/clam_shell/clam_shell.rgba16.inc.c	2048	[1141040, 48]
texture	actors/clam_shell/clam_shell_mouth.rgba16.inc.c	2048	[1141040, 2096]
